x olderr newerr delta newt oldt
-1.0 0.6564089184096336 0.4629556892682247 -0.19345322914140883 1.9566940709482878 2.0715309110237285
-0.99 0.652515085566932 0.45804150415092726 -0.1944735814160048 2.033301666029729 1.9596481510670856
-0.98 0.6484781229533098 0.45301719973373233 -0.19546092321957742 2.003865067032166 1.976049726945348
-0.97 0.6442997828757384 0.4478826503797111 -0.19641713249602732 2.0276906170183793 1.9895121939480305
-0.96 0.6399817836468787 0.4426379395773391 -0.19734384406953964 1.9238784220069647 1.871879681944847
-0.95 0.6355257987549141 0.4372833671912648 -0.1982424315636493 1.8442377391038463 1.8676632429705933
-0.94 0.6309334457343309 0.43181945637875974 -0.19911398935557112 1.8552601849660277 1.8900121089536697
-0.93 0.6262062748418199 0.42624695986834327 -0.19995931497347663 1.8458954169182107 1.8721062950789928
-0.92 0.6213457575274197 0.42056686584791314 -0.20077889167950658 1.8586184199666604 1.8367831769865006
-0.91 0.6163532747802168 0.4147804031205068 -0.20157287165971005 1.8746396470814943 1.862197479000315
-0.9 0.611230105452321 0.408889045709802 -0.20234105974251904 1.913441365933977 2.0229115639813244
-0.89 0.6059774145954822 0.40289451676735744 -0.20308289782812472 1.960514398990199 1.9207500690827146
-0.88 0.6005962419289809 0.39679879170924204 -0.20379745021973883 1.9349052229663357 1.8709080510307103
-0.87 0.5950874905751192 0.39060410065470597 -0.20448338992041326 1.804043147014454 1.8805983369238675
-0.86 0.5894519161687735 0.3843129300303676 -0.20513898613840587 2.029349099029787 1.9485982060432434
-0.85 0.5836901165081414 0.37792802336550313 -0.20576209314263827 1.8586651020450518 2.0154106440022588
-0.84 0.5778025218752748 0.37145238120050916 -0.20635014067476565 1.9452800550498068 2.124564921017736
-0.83 0.5717893863420908 0.36488926017388723 -0.20690012616820352 2.2202331200242043 2.0167230640072376
-0.82 0.565650780122034 0.35824217114380963 -0.20740860897822433 2.1132603029254824 2.09430836699903
-0.81 0.5593865833497 0.35151487645388957 -0.20787170689581047 2.035149139002897 1.8970422910060734
-0.8 0.552996481507532 0.34471138623814757 -0.20828509526938443 1.818990183994174 1.8151203009765595
-0.79 0.5464799628202177 0.33783595383418685 -0.20864400898603086 1.8655375740490854 1.8439895550254732
-0.78 0.5398363178837234 0.33089307024977643 -0.208943247633947 1.8231357240583748 1.859899680945091
-0.77 0.5330646420610576 0.3238874576800481 -0.20917718438100952 1.8264882679795846 1.818919250043109
-0.76 0.5261638408613012 0.31682406221293136 -0.20933977864836983 1.8035969339543954 1.8225853740004823
-0.75 0.5191326387075531 0.30970804551793363 -0.20942459318961948 1.799523780005984 1.8389375020051375
-0.74 0.5119695917644095 0.3025447757593037 -0.20942481600510576 2.1614182048942894 1.94112082303036
-0.73 0.5046731049306336 0.2953398176161277 -0.20933328731450584 1.9857882900396362 2.116661569918506
-0.72 0.4972414537095652 0.2880989214883868 -0.2091425322211784 1.9817280760034919 1.9114613720448688
-0.71 0.48967281125497586 0.28082801194596907 -0.2088447993090068 1.9523987140273675 1.9389629049692303
-0.7 0.48196528110601744 0.273533175410582 -0.20843210569543547 2.0512648839503527 2.0404876900138333
-0.69 0.4741169358670555 0.26622064712369975 -0.20789628874335575 1.9888129140017554 2.007357694907114
-0.68 0.46612586238966025 0.2588967974970654 -0.20722906489259485 2.0593219799920917 1.9301086839986965
-0.67 0.4579902134763696 0.25156811783522337 -0.20642209564114622 1.8783136599231511 1.8370730190072209
-0.66 0.4497082663643662 0.2442412054778561 -0.20546706088651012 1.811956831952557 1.8395037930458784
-0.65 0.44127848812990667 0.23692274846333827 -0.2043557396665684 1.9514035290339962 1.995847790967673
-0.64 0.43269960777958594 0.2296195097539253 -0.20308009802566063 1.9712484900373966 1.9352511969627813
-0.63 0.42397069468160353 0.22233831098954326 -0.20163238369206027 2.022916891030036 2.1102177220163867
-0.62 0.4150912430139754 0.21508601602142985 -0.20000522699254553 2.1646316359983757 2.058735412079841
-0.61 0.40606126139959975 0.2078695140444239 -0.19819174735517586 1.9670253270305693 1.9122828579274938
-0.6 0.3968813667534459 0.20069570256971758 -0.1961856641837283 1.9020071749109775 1.8073532900307328
-0.59 0.38755288095557094 0.19357147019366994 -0.193981410761901 1.8327728239819407 1.864340653992258
-0.58 0.37807792923202743 0.1865036792547996 -0.19157424997722783 1.906080040964298 1.842433782061562
-0.57 0.36845953791109665 0.17949914846609738 -0.18896038944499927 1.8389608220895752 1.882403413997963
-0.56 0.3587017297505778 0.1725646354110324 -0.1861370943395454 1.8235557220177725 1.8627073429524899
-0.55 0.34880961487472495 0.16570681926496877 -0.18310279560975617 2.3985203239135444 2.4180506920674816
-0.54 0.33878947413256444 0.15893228341511811 -0.17985719071744632 2.4302382639143616 2.5330180370947346
-0.53 0.32864883268974415 0.15224749832673395 -0.1764013343630102 1.8535557040013373 1.8538083570310846
-0.52 0.31839652156870274 0.1456588045733624 -0.17273771699534035 1.903047260013409 1.817897035041824
-0.51 0.30804272387972415 0.13917239601381276 -0.16887032786591138 1.794407231034711 1.7772869350155815
-0.5 0.2975990034653186 0.1327943032926771 -0.16480470017264148 1.7743824940407649 1.781977285980247
-0.49 0.28707831428677727 0.12653037766936676 -0.1605479366174105 1.7807993160095066 1.7935425488976762
-0.48 0.27649498810989287 0.12038627504614602 -0.15610871306374685 1.8289567440515384 1.814893347909674
-0.47 0.265864699169834 0.11436744052685499 -0.15149725864297903 1.9014937760075554 1.8224372470285743
-0.46 0.2552044055596139 0.108479093218806 -0.14672531234080788 1.793825038941577 1.831338916090317
