x olderr newerr delta oldt newt
0 0.0 0.020537291642553246 0.020537291642553246 0.9201637599617243 0.9325581080047414
1 0.09889787399830885 0.014153720229695854 -0.084744153768613 0.9215656500309706 0.930222294991836
2 0.1172010168003681 0.050180546635595125 -0.06702047016477297 0.8993480269564316 0.911408091080375
3 0.08373082779698593 0.09475903509910233 0.0110282073021164 0.9106080490164459 0.9978325199335814
4 0.05064759301342425 0.13570209698232816 0.0850545039689039 0.9796585399890319 0.9486640180693939
5 0.028820356978628503 0.16889929746915255 0.14007894049052405 0.9467631699517369 0.9795717200031504
6 0.018120463189584823 0.19376982226475215 0.17564935907516732 0.9753998649539426 0.9277487250510603
7 0.01609557723648747 0.21110860711627 0.19501302987978253 0.9351738549303263 0.9236197250429541
8 0.020201594010435642 0.2221192982502429 0.20191770423980726 0.9328866000287235 0.9355937949148938
9 0.028331785603196824 0.22801237774087646 0.19968059213767964 0.9408365240087733 0.936995865078643
10 0.038874825204924246 0.2298589360848955 0.19098411087997125 0.9380318300100043 0.9351472150301561
11 0.05064748193382096 0.2285545252630592 0.17790704332923823 0.9290780129376799 0.9376305140322074
12 0.06280515194819136 0.22482698285124592 0.16202183090305455 0.9646957410732284 0.9262227049330249
13 0.07476051597943956 0.21925911275257848 0.14449859677313892 0.9383847289718688 0.9320398709969595
14 0.0861173990471471 0.21231396471882702 0.12619656567167992 0.9610836299834773 0.9533494479255751
15 0.09661951650017642 0.20435799529426957 0.10773847879409315 0.9574330549221486 0.9236112639773637
16 0.10611172551029213 0.19568067508520182 0.08956894957490968 0.9315149709582329 0.9687251349678263
17 0.1145111477397478 0.18651046255516324 0.07199931481541544 0.9298846049932763 0.9464511489495635
18 0.12178584762079181 0.17702756172359013 0.05524171410279832 0.9236747969407588 0.9415505320066586
19 0.12793919671848863 0.16737400825882842 0.03943481154033979 0.9400642049731687 0.9590978699270636
20 0.13299847460756897 0.1576616064534706 0.02466313184590163 0.9384116829605773 0.9145539569435641
21 0.13700660646718443 0.14797816654950502 0.010971560082320586 0.9314036900177598 0.9415933680720627
22 0.14001621330602365 0.13839240963165267 -0.0016238036743709827 0.9406285210279748 0.9351060460321605
23 0.14208536188021403 0.128957832096122 -0.01312752978409204 0.9419702360173687 0.9368186849169433
24 0.1432745604541381 0.1197157585218589 -0.023558801932279216 0.9285789380082861 0.9160403889836743
25 0.1436446652696617 0.11069776089906336 -0.03294690437059833 0.9271848130738363 0.924518208950758
26 0.14325545067389722 0.10192758213660014 -0.041327868537297086 0.9299493809230626 0.9260260630398989
27 0.14216466099680058 0.0934226706616541 -0.04874199033514648 0.932788195903413 0.9427873040549457
28 0.14042741035706907 0.08519540891165489 -0.05523200144541418 0.9143936329055578 0.9154881699942052
29 0.1380958320425103 0.07725410003613131 -0.06084173200637899 0.9260319579625502 0.9206863440340385
30 0.13521890526405222 0.06960376290884396 -0.06561514235520827 0.92700788192451 0.916855268063955
31 0.1318424063682384 0.06224677460309325 -0.06959563176514516 0.9404553239000961 0.9245586120523512
32 0.12800894581720756 0.05518339103633796 -0.0728255547808696 0.9328117580153048 0.9175057029351592
33 0.12375806273777146 0.048412169955143636 -0.07534589278262782 0.9578762700548396 0.9166717350017279
34 0.1191263565810603 0.041930315359313575 -0.07719604122174673 0.9263955070637167 0.9106513060396537
35 0.11414764114170284 0.03573395851356809 -0.07841368262813475 0.9343588510528207 0.9143825640203431
36 0.10885311039114987 0.029818387607114527 -0.07903472278403534 0.9326030319789425 0.9098323440412059
37 0.10327150867465962 0.02417823569845856 -0.07909327297620106 0.92669448396191 0.9604913470102474
38 0.09742930009430717 0.01880763467450075 -0.07862166541980642 0.9398042219690979 0.9294697920558974
39 0.0913508335644484 0.013700341444288888 -0.07765049212015951 0.9390029110945761 0.9574835000094026
40 0.08505850123928838 0.008849841390632829 -0.07620865984865555 0.9231530859833583 0.9149043479701504
41 0.07857288889150249 0.004249433149311699 -0.07432345574219079 0.9185371400089934 0.9232487350236624
