x olderr newerr delta newt oldt
-1.0 0.6564089184096336 0.4629556892682247 -0.19345322914140883 1.8488306660437956 1.79977272299584
-0.99 0.6525150855678264 0.45804150415469846 -0.19447358141312798 1.840128832962364 1.9094218980753794
-0.98 0.6484781229521311 0.4530171997321307 -0.19546092322000042 1.8655224330723286 1.8846636509988457
-0.97 0.6442997828744452 0.4478826503802089 -0.1964171324942363 1.8394644419895485 1.801306911977008
-0.96 0.6399817836488327 0.44263793957229824 -0.1973438440765345 1.8266948030795902 1.8396586659364402
-0.95 0.6355257987543494 0.4372833671940233 -0.19824243156032617 1.9182249769801274 1.8437796459766105
-0.94 0.6309334457343342 0.4318194563757015 -0.19911398935863267 1.8006392979295924 1.8127835160121322
-0.93 0.6262062748435623 0.426246959869225 -0.19995931497433728 1.811051580007188 1.7917247019940987
-0.92 0.6213457575292318 0.42056686584672454 -0.2007788916825073 1.8355866300407797 1.7884810200193897
-0.91 0.6163532747793682 0.4147804031208463 -0.2015728716585219 1.787238952005282 1.8127789050340652
-0.9 0.6112301054532603 0.4088890457110914 -0.20234105974216887 1.8765684510581195 1.8214457599679008
-0.89 0.6059774145966048 0.4028945167680338 -0.20308289782857103 1.8357689400436357 1.8698378519620746
-0.88 0.6005962419287584 0.3967987917100423 -0.2037974502187161 1.8190196320647374 1.7948328389320523
-0.87 0.5950874905734621 0.3906041006530817 -0.2044833899203804 1.8094295379705727 1.8608535509556532
-0.86 0.5894519161695913 0.3843129300339623 -0.20513898613562898 1.9477168440353125 1.9252860699780285
-0.85 0.5836901165101083 0.3779280233661255 -0.20576209314398275 1.9341075610136613 1.8563079030718654
-0.84 0.5778025218748565 0.3714523811990039 -0.20635014067585256 1.8806839239550754 1.8301371569978073
-0.83 0.5717893863424136 0.3648892601738555 -0.20690012616855813 1.8231721610063687 1.8585205760318786
-0.82 0.5656507801239049 0.3582421711451903 -0.2074086089787146 1.809663743013516 1.83330483303871
-0.81 0.5593865833492073 0.35151487645306423 -0.2078717068961431 1.8728993809781969 1.8805847790790722
-0.8 0.5529964815140701 0.3447113862435097 -0.20828509527056038 1.8933141379384324 1.8399206260219216
-0.79 0.5464799628182264 0.33783595383867127 -0.20864400897955515 1.8684416799806058 1.8447279909159988
-0.78 0.5398363178836126 0.33089307024631287 -0.20894324763729977 1.8304716099519283 1.9081842250889167
-0.77 0.5330646420648577 0.3238874576837011 -0.20917718438115662 1.9556257909862325 1.8746021400438622
-0.76 0.5261638408638722 0.3168240622146984 -0.20933977864917386 1.9499808190157637 1.923874199972488
-0.75 0.5191326387075531 0.30970804551793363 -0.20942459318961948 1.974212638917379 1.9150417140917853
-0.74 0.5119695917614394 0.30254477575682914 -0.20942481600461027 1.9047065079212189 1.832629465032369
