x yhat y
-20.0000000000000 -1.55768711406094 -1.52083793107295
-19.9000000000000 -1.55866036289513 -1.52058730451179
-19.8000000000000 -1.55961247337424 -1.52033415277804
-19.7000000000000 -1.56054316416536 -1.52007843754810
-19.6000000000000 -1.56145215308884 -1.51982011971958
-19.5000000000000 -1.56233915719228 -1.51955915939148
-19.4000000000000 -1.56320389282750 -1.51929551584367
-19.3000000000000 -1.56404607573047 -1.51902914751584
-19.2000000000000 -1.56486542110424 -1.51876001198568
-19.1000000000000 -1.56566164370497 -1.51848806594648
-19.0000000000000 -1.56643445793117 -1.51821326518395
-18.9000000000000 -1.56718357791607 -1.51793556455238
-18.8000000000000 -1.56790871762342 -1.51765491794996
-18.7000000000000 -1.56860959094652 -1.51737127829340
-18.6000000000000 -1.56928591181074 -1.51708459749166
-18.5000000000000 -1.56993739427956 -1.51679482641893
-18.4000000000000 -1.57056375266408 -1.51650191488659
-18.3000000000000 -1.57116470163627 -1.51620581161442
-18.2000000000000 -1.57173995634576 -1.51590646420074
-18.1000000000000 -1.57228923254052 -1.51560381909165
-18.0000000000000 -1.57281224669128 -1.51529782154918
-17.9000000000000 -1.57330871611981 -1.51498841561846
-17.8000000000000 -1.57377835913119 -1.51467554409372
-17.7000000000000 -1.57422089515005 -1.51435914848319
-17.6000000000000 -1.57463604486080 -1.51403916897280
-17.5000000000000 -1.57502353035209 -1.51371554438863
-17.4000000000000 -1.57538307526529 -1.51338821215810
-17.3000000000000 -1.57571440494731 -1.51305710826979
-17.2000000000000 -1.57601724660756 -1.51272216723194
-17.1000000000000 -1.57629132947930 -1.51238332202941
-17.0000000000000 -1.57653638498530 -1.51204050407917
-16.9000000000000 -1.57675214690787 -1.51169364318431
-16.8000000000000 -1.57693835156337 -1.51134266748624
-16.7000000000000 -1.57709473798109 -1.51098750341537
-16.6000000000000 -1.57722104808667 -1.51062807563989
-16.5000000000000 -1.57731702688996 -1.51026430701279
-16.4000000000000 -1.57738242267750 -1.50989611851691
-16.3000000000000 -1.57741698720936 -1.50952342920799
-16.2000000000000 -1.57742047592069 -1.50914615615564
-16.1000000000000 -1.57739264812763 -1.50876421438214
-16.0000000000000 -1.57733326723788 -1.50837751679894
-15.9000000000000 -1.57724210096561 -1.50798597414080
-15.8000000000000 -1.57711892155098 -1.50758949489744
-15.7000000000000 -1.57696350598401 -1.50718798524263
-15.6000000000000 -1.57677563623282 -1.50678134896055
-15.5000000000000 -1.57655509947622 -1.50636948736934
-15.4000000000000 -1.57630168834057 -1.50595229924169
-15.3000000000000 -1.57601520114075 -1.50552968072235
-15.2000000000000 -1.57569544212524 -1.50510152524243
-15.1000000000000 -1.57534222172512 -1.50466772343032
-15.0000000000000 -1.57495535680691 -1.50422816301907
-14.9000000000000 -1.57453467092912 -1.50378272875009
-14.8000000000000 -1.57407999460225 -1.50333130227299
-14.7000000000000 -1.57359116555214 -1.50287376204138
-14.6000000000000 -1.57306802898648 -1.50240998320439
-14.5000000000000 -1.57251043786414 -1.50193983749385
-14.4000000000000 -1.57191825316717 -1.50146319310669
-14.3000000000000 -1.57129134417516 -1.50097991458255
-14.2000000000000 -1.57062958874164 -1.50048986267627
-14.1000000000000 -1.56993287357211 -1.49999289422499
-14.0000000000000 -1.56920109450352 -1.49948886200961
-13.9000000000000 -1.56843415678455 -1.49897761461039
-13.8000000000000 -1.56763197535641 -1.49845899625630
-13.7000000000000 -1.56679447513362 -1.49793284666790
-13.6000000000000 -1.56592159128420 -1.49739900089328
-13.5000000000000 -1.56501326950873 -1.49685728913696
-13.4000000000000 -1.56406946631771 -1.49630753658101
-13.3000000000000 -1.56309014930636 -1.49574956319846
-13.2000000000000 -1.56207529742630 -1.49518318355807
-13.1000000000000 -1.56102490125321 -1.49460820662051
-13.0000000000000 -1.55993896324962 -1.49402443552512
-12.9000000000000 -1.55881749802186 -1.49343166736692
-12.8000000000000 -1.55766053257023 -1.49282969296335
-12.7000000000000 -1.55646810653117 -1.49221829661009
-12.6000000000000 -1.55524027241036 -1.49159725582545
-12.5000000000000 -1.55397709580531 -1.49096634108266
-12.4000000000000 -1.55267865561627 -1.49032531552944
-12.3000000000000 -1.55134504424374 -1.48967393469400
-12.2000000000000 -1.54997636777109 -1.48901194617690
-12.1000000000000 -1.54857274613054 -1.48833908932783
-12.0000000000000 -1.54713431325055 -1.48765509490646
-11.9000000000000 -1.54566121718277 -1.48695968472648
-11.8000000000000 -1.54415362020608 -1.48625257128190
-11.7000000000000 -1.54261169890576 -1.48553345735437
-11.6000000000000 -1.54103564422488 -1.48480203560066
-11.5000000000000 -1.53942566148550 -1.48405798811891
-11.4000000000000 -1.53778197037661 -1.48330098599251
-11.3000000000000 -1.53610480490566 -1.48253068881009
-11.2000000000000 -1.53439441331039 -1.48174674416040
-11.1000000000000 -1.53265105792728 -1.48094878710027
-11.0000000000000 -1.53087501501268 -1.48013643959415
-10.9000000000000 -1.52906657451250 -1.47930930992339
-10.8000000000000 -1.52722603977587 -1.47846699206330
-10.7000000000000 -1.52535372720800 -1.47760906502602
-10.6000000000000 -1.52344996585699 -1.47673509216691
-10.5000000000000 -1.52151509692893 -1.47584462045214
-10.4000000000000 -1.51954947322549 -1.47493717968488
-10.3000000000000 -1.51755345849726 -1.47401228168742
-10.2000000000000 -1.51552742670617 -1.47306941943618
-10.1000000000000 -1.51347176118941 -1.47210806614649
-10.0000000000000 -1.51138685371686 -1.47112767430373
-9.90000000000000 -1.50927310343356 -1.47012767463707
-9.80000000000000 -1.50713091567798 -1.46910747503182
-9.70000000000000 -1.50496070066616 -1.46806645937623
-9.60000000000000 -1.50276287203128 -1.46700398633785
